,Annotation Cluster 1,Enrichment Score: 17.788187525631553,,,,,,,,,,
Genes,Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini
MYL2,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 TNNC1,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 MYL3,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 ADCY5,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 MYBPC3,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNB1,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNB2,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNB3,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
 CACNB4,KEGG_PATHWAY,cfa05414:Dilated cardiomyopathy,35,6.944444444,3.73E-23,"MYL2, TNNC1, MYL3, ADCY5, MYBPC3, CACNB1, CACNB2, CACNB3, CACNB4, TTN, TPM1, DES, DMD, EMD, ACTC1, CACNA2D1, LMNA, IGF1, CACNA2D3, CACNG1, TNNI3, CACNA2D2, CACNA1S, TNNT2, ADRB1, SGCG, PLN, SGCD, RYR2, GNAS, CACNA1F, CACNA1C, CACNA1D, SGCA, SGCB",339,84,6781,8.334562439,9.55E-21,9.55E-21
