,ZGLP1,Text Mining
,EGF,Text Mining
,CXCL12,Text Mining
,VEGFA,Text Mining
,PPARA,Text Mining
,ANXA2,Text Mining
,GAPDH,Text Mining
,SLC33A1,Text Mining
,NOVA2,Text Mining
,MYOCD,Text Mining
,LDB3,Text Mining
,IGF1,Text Mining
,IGFBP1,Text Mining
,IGBP1,Text Mining
,BCL2,Text Mining
,EMD,Text Mining
,CTGF,Text Mining
,ACTC1,Text Mining
,C1orf52,Text Mining
,LRRC4,Text Mining
,CAV3,Text Mining
,EDN1,Text Mining
,GDF15,Text Mining
,ATP7A,Text Mining
,FSD1L,Text Mining
,PSEN1,Text Mining
,PPARGC1A,Text Mining
,CCL2,Text Mining
,SUN2,Text Mining
,RBM20,Text Mining
,FUT1,Text Mining
,FKRP,Text Mining
,CAV1,Text Mining
,ATP2A2,Text Mining
,OBSCN,Text Mining
,JUP,Text Mining
,DNAJC19,Text Mining
,TMOD1,Text Mining
,UTRN,Text Mining
,ADRB1,Text Mining
,ACE2,Text Mining
,MSTN,Text Mining
,APLN,Text Mining
,SETD2,Text Mining
,TIMP1,Text Mining
,STK4,Text Mining
,SLC2A4,Text Mining
,MYOD1,Text Mining
,LPAR3,Text Mining
,LTBP4,Text Mining
,SPP1,Text Mining
,IBSP,Text Mining
,DYSF,Text Mining
,GCNT2,Text Mining
,HSPA4,Text Mining
,FABP3,Text Mining
,KCNH2,Text Mining
,CACNA1C,Text Mining
,TBXT,Text Mining
,RHOA,Text Mining
,FKTN,Text Mining
,EP300,Text Mining
,FGF21,Text Mining
,GRK2,Text Mining
,ERBB4,Text Mining
,DROSHA,Text Mining
,ALMS1,Text Mining
,CDC42,Text Mining
,LMNB1,Text Mining
,LMNB2,Text Mining
,KCTD6,Text Mining
,PDCD1LG2,Text Mining
,PTMS,Text Mining
,MEF2C,Text Mining
,OPA1,Text Mining
,ZNF10,Text Mining
,TRIM55,Text Mining
,ACTN2,Text Mining
,ADRB2,Text Mining
,JPH2,Text Mining
,CTRL,Text Mining
,CLGN,Text Mining
,FASLG,Text Mining
,MYC,Text Mining
,DGCR8,Text Mining
,MAP3K7,Text Mining
,DNAJB6,Text Mining
,BCL2L1,Text Mining
,IGHMBP2,Text Mining
,CD34,Text Mining
,ANXA5,Text Mining
,ZMYM3,Text Mining
,RAC3,Text Mining
,NCOA3,Text Mining
,RANGRF,Text Mining
,CRLF3,Text Mining
,CASQ2,Text Mining
,SMARCA4,Text Mining
,STRN3,Text Mining
,BCAR3,Text Mining
,LAMC1,Text Mining
,LAMB2,Text Mining
,APOE,Text Mining
,SREBF1,Text Mining
,CD36,Text Mining
,CAMK2G,Text Mining
,CAMK4,Text Mining
,HMOX1,Text Mining
,HDAC7,Text Mining
,HDAC9,Text Mining
,HERC5,Text Mining
,HAND1,Text Mining
,NANOS3,Text Mining
,TJP1,Text Mining
,FOS,Text Mining
,XDH,Text Mining
,RASA1,Text Mining
,QDPR,Text Mining
,VCAN,Text Mining
,MT-CYB,Text Mining
,MYOG,Text Mining
,MT-CO2,Text Mining
,PTGS2,Text Mining
,ATF6,Text Mining
,CTLA4,Text Mining
,CST3,Text Mining
,PRDX5,Text Mining
,GPT,Text Mining
,MAATS1,Text Mining
,EDNRA,Text Mining
,NOTCH1,Text Mining
,HAND2,Text Mining
,PIM1,Text Mining
,REST,Text Mining
,DSC3,Text Mining
,FAM111B,Text Mining
,TMEM43,Text Mining
,S100A4,Text Mining
,CDKN2A,Text Mining
,OLR1,Text Mining
,MED1,Text Mining
,HAMP,Text Mining
,PRDM16,Text Mining
,MAPK7,Text Mining
,GADD45GIP1,Text Mining
,TRIM54,Text Mining
DCM,ABCC6,PMID: 29311597
DCM,ABCC9,PMID: 29311597
DCM,ACAD8,PMID: 29311597
DCM,ACAD9,PMID: 29311597
DCM,ACADS,PMID: 29311597
DCM,ACTA1,PMID: 29311597
DCM,ACVRL1,PMID: 29311597
DCM,ADAMTSL2,PMID: 29311597
DCM,ADCY5,PMID: 29311597
DCM,AGL,PMID: 29311597
DCM,AHCY,PMID: 29311597
DCM,AIP,PMID: 29311597
DCM,AKT2,PMID: 29311597
DCM,ALG1,PMID: 29311597
DCM,AMIGO3,PMID: 29311597
DCM,AP002884.2,PMID: 29311597
DCM,APOA1,PMID: 29311597
DCM,ARSB,PMID: 29311597
DCM,B3GAT3,PMID: 29311597
DCM,BAG3,PMID: 29311597
DCM,BBS2,PMID: 29311597
DCM,BOLA3,PMID: 29311597
DCM,BRAF,PMID: 29311597
DCM,CASR,PMID: 29311597
DCM,CCR6,PMID: 29311597
DCM,CDKN1C,PMID: 29311597
DCM,CISD2,PMID: 29311597
DCM,CLIC2,PMID: 29311597
DCM,COL1A1,PMID: 29311597
DCM,COL1A2,PMID: 29311597
DCM,CP,PMID: 29311597
DCM,CPT1A,PMID: 29311597
DCM,CPT2,PMID: 29311597
DCM,CRYAB,PMID: 29311597
DCM,CSRP3,PMID: 29311597
DCM,D2HGDH,PMID: 29311597
DCM,DCAF8,PMID: 29311597
DCM,DES,PMID: 29311597
DCM,DMD,PMID: 29311597
DCM,DNASE1L3,PMID: 29311597
DCM,DOLK,PMID: 29311597
DCM,DPM3,PMID: 29311597
DCM,DSG2,PMID: 29311597
DCM,DSP,PMID: 29311597
DCM,DTNA,PMID: 29311597
DCM,EFEMP2,PMID: 29311597
DCM,ELAC2,PMID: 29311597
DCM,ENG,PMID: 29311597
DCM,ENPP1,PMID: 29311597
DCM,EPG5,PMID: 29311597
DCM,ERBB3,PMID: 29311597
DCM,EVC,PMID: 29311597
DCM,EVC2,PMID: 29311597
DCM,EYA4,PMID: 29311597
DCM,FBLN5,PMID: 29311597
DCM,FBN1,PMID: 29311597
DCM,FGD1,PMID: 29311597
DCM,FGF23,PMID: 29311597
DCM,FHL1,PMID: 29311597
DCM,FIG4,PMID: 29311597
DCM,FLNA,PMID: 29311597
DCM,FPGT-TNNI3K,PMID: 29311597
DCM,FRAS1,PMID: 29311597
DCM,FREM2,PMID: 29311597
DCM,FUCA1,PMID: 29311597
DCM,FXN,PMID: 29311597
DCM,GAA,PMID: 29311597
DCM,GALNS,PMID: 29311597
DCM,GATAD1,PMID: 29311597
DCM,GBA,PMID: 29311597
DCM,GBE1,PMID: 29311597
DCM,GDF2,PMID: 29311597
DCM,GJA1,PMID: 29311597
DCM,GJA5,PMID: 29311597
DCM,GLA,PMID: 29311597
DCM,GLB1,PMID: 29311597
DCM,GLI3,PMID: 29311597
DCM,GNA11,PMID: 29311597
DCM,GNAS,PMID: 29311597
