P05413,,A0MZ66,,MI:1112,two hybrid prey pooling approach,Rolland et al. (2014),imex:IM-23318|pubmed:25416956,1
P05413,,A0MZ66,,MI:1356,validated two hybrid,Rolland et al. (2014),imex:IM-23318|pubmed:25416956,2
P05413,,A0MZ66,4,MI:1112,two hybrid prey pooling approach,"Huri, et al. (2017)",pubmed:unassigned1304|imex:IM-25472,3
P05413,,A0MZ66,4,MI:0397,two hybrid array,"Huri, et al. (2017)",pubmed:unassigned1304|imex:IM-25472,4
P60953,,A0S183,,MI:0398,two hybrid pooling approach,Bandyopadhyay et al. (2010),pubmed:20936779|imex:IM-17049,5
P61586,,A4QP34,,MI:0007,anti tag coimmunoprecipitation,Castanon et al. (2013),pubmed:23201782|doi:10.1038/ncb2632|imex:IM-22385,6
O75923,,A4UGR9,,MI:0399,two hybrid fragment pooling approach,Blandin et al. (2013),pubmed:23414517|imex:IM-16425,7
Q13043,,A6NMY6,,MI:0676,tandem affinity purification,Rawat et al. (2013),pubmed:23386615|imex:IM-23209,8
P60953,,A7KAX9,,MI:0398,two hybrid pooling approach,Bandyopadhyay et al. (2010),pubmed:20936779|imex:IM-17049,9
P10415,,A8MW95,,MI:0007,anti tag coimmunoprecipitation,He et al. (2013),pubmed:23954414|imex:IM-21710,10
Q8NC69,,B2R8Y4,,MI:1356,validated two hybrid,Rolland et al. (2014),imex:IM-23318|pubmed:25416956,11
P60953,,B2RTY4,,MI:0398,two hybrid pooling approach,Bandyopadhyay et al. (2010),pubmed:20936779|imex:IM-17049,12
Q13043,,B5ME19,,MI:0676,tandem affinity purification,Rawat et al. (2013),pubmed:23386615|imex:IM-23209,13
P50402,,B7U540,,MI:1112,two hybrid prey pooling approach,"Huri, et al. (2017)",pubmed:unassigned1304|imex:IM-25472,14
P50402,,B7U540,,MI:0397,two hybrid array,"Huri, et al. (2017)",pubmed:unassigned1304|imex:IM-25472,15
P60953,,C9JA69,,MI:0007,anti tag coimmunoprecipitation,Hein et al. (2015),pubmed:26496610|imex:IM-24272,16
P14923,,E1C7M7,,MI:0018,two hybrid,Nieset et al. (1997),pubmed:9152027|imex:IM-17289,17
O00400,,E7ETE0,,MI:0007,anti tag coimmunoprecipitation,Hein et al. (2015),pubmed:26496610|imex:IM-24272,18
P49768,,E9Q9F5,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,19
P49768,,E9Q9F5,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,20
P49768,,E9Q9F5,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,21
P49768,,F6RWR5,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,22
P49768,,F6RWR5,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,23
P49768,,F6RWR5,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,24
P49768,,F6RWR5,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,25
P49768,,F8WIS9,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,26
P49768,,G3UW68,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,27
P61586,,H0Y9Y3,,MI:0007,anti tag coimmunoprecipitation,Hein et al. (2015),pubmed:26496610|imex:IM-24272,28
O00400,,J3QQY0,,MI:0007,anti tag coimmunoprecipitation,Hein et al. (2015),pubmed:26496610|imex:IM-24272,29
Q09472,,K4P3M7,,MI:0007,anti tag coimmunoprecipitation,Zhang et al. (2006),pubmed:16760386|imex:IM-25836,30
Q09472,,K4P3M7,,MI:0006,anti bait coimmunoprecipitation,Zhang et al. (2006),pubmed:16760386|imex:IM-25836,31
Q13043,,O00139,,MI:0007,anti tag coimmunoprecipitation,Couzens et al. (2013),pubmed:24255178|imex:IM-21541,32
P04406,,O00141,,MI:0006,anti bait coimmunoprecipitation,Ewing et al. (2007),pubmed:17353931,33
Q9UH99,,O00159,,MI:0096,pull down,Taranum et al. (2012),pubmed:22555292|imex:IM-24042,34
O00400,,O00165,5,MI:0007,anti tag coimmunoprecipitation,Hein et al. (2015),pubmed:26496610|imex:IM-24272,35
Q03135,,O00194,,MI:0007,anti tag coimmunoprecipitation,Song et al. (2009),pubmed:19706440|doi:10.1073/pnas.0900527106|imex:IM-14801,36
Q03135,,O00194,,MI:0006,anti bait coimmunoprecipitation,Song et al. (2009),pubmed:19706440|doi:10.1073/pnas.0900527106|imex:IM-14801,37
P04406,,O00231,,MI:0398,two hybrid pooling approach,Stelzl et al. (2005),pubmed:16169070|imex:IM-16517|mint:MINT-5217955,38
O00400,,O00299,,MI:0007,anti tag coimmunoprecipitation,Hein et al. (2015),pubmed:26496610|imex:IM-24272,39
P05412,,O00400,,MI:0006,anti bait coimmunoprecipitation,Li et al. (2015),imex:IM-24178|pubmed:25609649,40
Q6NUS6,,O00400,,MI:1314,proximity-dependent biotin identification,Gupta et al. (2015),imex:IM-24512|pubmed:26638075,41
Q6NUS6,,O00400,,MI:1314,proximity-dependent biotin identification,Gupta et al. (2015),imex:IM-24512|pubmed:26638075,42
Q86UK5,,O00400,,MI:1314,proximity-dependent biotin identification,Gupta et al. (2015),imex:IM-24512|pubmed:26638075,43
Q86X19,,O00400,,MI:1314,proximity-dependent biotin identification,Gupta et al. (2015),imex:IM-24512|pubmed:26638075,44
Q96GX1,,O00400,,MI:1314,proximity-dependent biotin identification,Gupta et al. (2015),imex:IM-24512|pubmed:26638075,45
Q96GX1,,O00400,,MI:1314,proximity-dependent biotin identification,Gupta et al. (2015),imex:IM-24512|pubmed:26638075,46
Q9P0N5,,O00400,,MI:1314,proximity-dependent biotin identification,Gupta et al. (2015),imex:IM-24512|pubmed:26638075,47
Q9P0N5,,O00400,,MI:1314,proximity-dependent biotin identification,Gupta et al. (2015),imex:IM-24512|pubmed:26638075,48
P60953,,O00401,,MI:0019,coimmunoprecipitation,Tang et al. (2005),pubmed:15834156|mint:MINT-5217669,49
P60953,,O00401,,MI:0424,protein kinase assay,Torres et al. (2006),pubmed:16293614|imex:IM-14503,50
P60953,,O00401,,MI:0434,phosphatase assay,Torres et al. (2006),pubmed:16293614|imex:IM-14503,51
Q13043,,O00410,,MI:0676,tandem affinity purification,Rawat et al. (2013),pubmed:23386615|imex:IM-23209,52
P20700,,O00442,,MI:0006,anti bait coimmunoprecipitation,Ewing et al. (2007),pubmed:17353931,53
P60953,,O00461,,MI:0007,anti tag coimmunoprecipitation,Hein et al. (2015),pubmed:26496610|imex:IM-24272,54
Q9UBK2,,O00482,1,MI:0053,fluorescence polarization spectroscopy,Musille et al. (2012),pubmed:22504882|doi:10.1038/nsmb.2279|imex:IM-18098,55
Q13936,,O00499,8,MI:0007,anti tag coimmunoprecipitation,Hong et al. (2010),pubmed:20169111|doi:10.1371/journal.pbio.1000312|imex:IM-14670,56
Q8N2S1,,O00555,,MI:0096,pull down,Kahle et al. (2011),pubmed:21078624|imex:IM-17207,57
Q13043,,O00571,,MI:0676,tandem affinity purification,Rawat et al. (2013),pubmed:23386615|imex:IM-23209,58
Q9UH99,,O00571,,MI:0096,pull down,Taranum et al. (2012),pubmed:22555292|imex:IM-24042,59
P48061,,O00585,,MI:0107,surface plasmon resonance,von et al. (2017),imex:IM-26339|doi:10.1126/scitranslmed.aah6650|pubmed:28381538,60
P48061,,O00585,,MI:0049,filter binding,von et al. (2017),imex:IM-26339|doi:10.1126/scitranslmed.aah6650|pubmed:28381538,61
P78318,,O00743,,MI:0018,two hybrid,Chen et al. (1998),pubmed:9647778|imex:IM-19607,62
P78318,,O00743,,MI:0007,anti tag coimmunoprecipitation,Chen et al. (1998),pubmed:9647778|imex:IM-19607,63
P78318,,O00743,,MI:0007,anti tag coimmunoprecipitation,Chen et al. (1998),pubmed:9647778|imex:IM-19607,64
P78318,,O00743,,MI:0007,anti tag coimmunoprecipitation,Stefansson et al. (2008),pubmed:18186651|imex:IM-20108,65
P78318,,O00743,,MI:0676,tandem affinity purification,Gingras et al. (2005),pubmed:16085932|imex:IM-20468,66
P78318,,O00743,,MI:0007,anti tag coimmunoprecipitation,Hein et al. (2015),pubmed:26496610|imex:IM-24272,67
P49768,,O08553,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,68
P49768,,O08553,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,69
P49768,,O08553,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,70
P49768,,O08553,,MI:0096,pull down,Kuzuya et al. (2016),pubmed:27036734|imex:IM-25035,71
P61586,,O08808,,MI:0018,two hybrid,Watanabe et al. (1997),pubmed:9214622|imex:IM-18804,72
P61586,,O08808,,MI:0018,two hybrid,Watanabe et al. (1997),pubmed:9214622|imex:IM-18804,73
P60953,,O08816,,MI:0096,pull down,Miki et al. (1998),pubmed:9422512|imex:IM-18806,74
P60953,,O14613,,MI:0018,two hybrid,Wang et al. (2011),imex:IM-15364|pubmed:21988832,75
P60953,,O14613,,MI:1112,two hybrid prey pooling approach,"Huri, et al. (2017)",pubmed:unassigned1304|imex:IM-25472,76
P60953,,O14613,,MI:0397,two hybrid array,"Huri, et al. (2017)",pubmed:unassigned1304|imex:IM-25472,77
P60953,,O14613,,MI:1356,validated two hybrid,Rolland et al. (2014),imex:IM-23318|pubmed:25416956,78
P48061,,O14625,,MI:0107,surface plasmon resonance,von et al. (2017),imex:IM-26339|doi:10.1126/scitranslmed.aah6650|pubmed:28381538,79
P48061,,O14625,,MI:0049,filter binding,von et al. (2017),imex:IM-26339|doi:10.1126/scitranslmed.aah6650|pubmed:28381538,80
P46939,,O14713,,MI:0399,two hybrid fragment pooling approach,Blandin et al. (2013),pubmed:23414517|imex:IM-16425,81
P15692,,O14786,,MI:0411,enzyme linked immunosorbent assay,Pan et al. (2007),pubmed:17222790|imex:IM-11851,82
P15692,,O14786,,MI:0007,anti tag coimmunoprecipitation,Shintani et al. (2006),mint:MINT-5218708|pubmed:16763549|imex:IM-11324,83
O14793,,O14793,,MI:0107,surface plasmon resonance,Szláma et al. (2013),mint:MINT-8432598|mint:fj-13-0373|pubmed:23829672,84
O14793,,O14793,,MI:0807,comigration in gel electrophoresis,Szláma et al. (2013),mint:MINT-8432598|mint:fj-13-0373|pubmed:23829672,85
