A1BG,1,11167,yes,A1bg,MGI:2152878,,1
A1CF,29974,16363,yes,A1cf,MGI:1917115,MP:0005387,2
A1CF,29974,16363,yes,A1cf,MGI:1917115,MP:0005386,3
A1CF,29974,16363,yes,A1cf,MGI:1917115,MP:0005388,4
A1CF,29974,16363,yes,A1cf,MGI:1917115,MP:0005385,5
A1CF,29974,16363,yes,A1cf,MGI:1917115,MP:0002873,6
A1CF,29974,16363,yes,A1cf,MGI:1917115,MP:0010768,7
A1CF,29974,16363,yes,A1cf,MGI:1917115,MP:0005369,8
A1CF,29974,16363,yes,A1cf,MGI:1917115,MP:0005376,9
A1CF,29974,16363,yes,A1cf,MGI:1917115,MP:0005384,10
A1CF,29974,16363,yes,A1cf,MGI:1917115,MP:0005378,11
A2M,2,37248,yes,A2m,MGI:2449119,,12
A3GALT2,127550,16326,yes,A3galt2,MGI:2685279,,13
A4GALT,53947,9690,yes,A4galt,MGI:3512453,MP:0005386,14
A4GALT,53947,9690,yes,A4galt,MGI:3512453,MP:0010768,15
A4GALT,53947,9690,yes,A4galt,MGI:3512453,MP:0005376,16
A4GNT,51146,87446,yes,A4gnt,MGI:2143261,MP:0005384,17
A4GNT,51146,87446,yes,A4gnt,MGI:2143261,MP:0002006,18
A4GNT,51146,87446,yes,A4gnt,MGI:2143261,MP:0005385,19
A4GNT,51146,87446,yes,A4gnt,MGI:2143261,MP:0005381,20
A4GNT,51146,87446,yes,A4gnt,MGI:2143261,MP:0005387,21
AAAS,8086,9232,yes,Aaas,MGI:2443767,MP:0005389,22
AAAS,8086,9232,yes,Aaas,MGI:2443767,MP:0005386,23
AAAS,8086,9232,yes,Aaas,MGI:2443767,MP:0005378,24
AACS,65985,11322,yes,Aacs,MGI:1926144,,25
AADAC,13,37436,yes,Aadac,MGI:1915008,,26
AADACL2,344752,28634,yes,Aadacl2,MGI:3646333,,27
AADACL3,126767,28426,yes,Aadacl3,MGI:2685281,,28
AADACL4,343066,82530,yes,Aadacl4,MGI:3650257,,29
AADAT,51166,56540,yes,Aadat,MGI:1345167,MP:0005386,30
AADAT,51166,56540,yes,Aadat,MGI:1345167,MP:0003631,31
AADAT,51166,56540,yes,Aadat,MGI:1345167,MP:0005391,32
AAED1,195827,7192,yes,Aaed1,MGI:1913379,,33
