name,Gene ontology (biological process),Gene ontology (cellular component),Gene ontology (GO),Gene ontology (molecular function),Gene ontology IDs
SLC33A1,BMP signaling pathway [GO:0030509]; SMAD protein signal transduction [GO:0060395]; transmembrane transport [GO:0055085],endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020],endoplasmic reticulum membrane [GO:0005789]; Golgi membrane [GO:0000139]; integral component of plasma membrane [GO:0005887]; membrane [GO:0016020]; acetyl-CoA transmembrane transporter activity [GO:0008521]; solute:proton symporter activity [GO:0015295]; BMP signaling pathway [GO:0030509]; SMAD protein signal transduction [GO:0060395]; transmembrane transport [GO:0055085],acetyl-CoA transmembrane transporter activity [GO:0008521]; solute:proton symporter activity [GO:0015295],GO:0000139; GO:0005789; GO:0005887; GO:0008521; GO:0015295; GO:0016020; GO:0030509; GO:0055085; GO:0060395
MSTN,"cell development [GO:0048468]; cellular response to dexamethasone stimulus [GO:0071549]; muscle cell cellular homeostasis [GO:0046716]; muscle organ development [GO:0007517]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of kinase activity [GO:0033673]; negative regulation of muscle hypertrophy [GO:0014741]; negative regulation of myoblast differentiation [GO:0045662]; negative regulation of myoblast proliferation [GO:2000818]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of satellite cell differentiation [GO:1902725]; negative regulation of skeletal muscle satellite cell proliferation [GO:1902723]; negative regulation of skeletal muscle tissue growth [GO:0048632]; ovulation cycle process [GO:0022602]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of apoptotic process [GO:0042981]; regulation of MAPK cascade [GO:0043408]; response to electrical stimulus [GO:0051602]; response to estrogen [GO:0043627]; response to ethanol [GO:0045471]; response to gravity [GO:0009629]; response to heat [GO:0009408]; response to muscle activity [GO:0014850]; response to testosterone [GO:0033574]; skeletal muscle atrophy [GO:0014732]; skeletal muscle tissue regeneration [GO:0043403]; SMAD protein signal transduction [GO:0060395]; transforming growth factor beta receptor signaling pathway [GO:0007179]",cytoplasm [GO:0005737]; extracellular space [GO:0005615],"cytoplasm [GO:0005737]; extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]; transforming growth factor beta receptor binding [GO:0005160]; cell development [GO:0048468]; cellular response to dexamethasone stimulus [GO:0071549]; muscle cell cellular homeostasis [GO:0046716]; muscle organ development [GO:0007517]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of kinase activity [GO:0033673]; negative regulation of muscle hypertrophy [GO:0014741]; negative regulation of myoblast differentiation [GO:0045662]; negative regulation of myoblast proliferation [GO:2000818]; negative regulation of protein kinase B signaling [GO:0051898]; negative regulation of satellite cell differentiation [GO:1902725]; negative regulation of skeletal muscle satellite cell proliferation [GO:1902723]; negative regulation of skeletal muscle tissue growth [GO:0048632]; ovulation cycle process [GO:0022602]; positive regulation of pathway-restricted SMAD protein phosphorylation [GO:0010862]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of apoptotic process [GO:0042981]; regulation of MAPK cascade [GO:0043408]; response to electrical stimulus [GO:0051602]; response to estrogen [GO:0043627]; response to ethanol [GO:0045471]; response to gravity [GO:0009629]; response to heat [GO:0009408]; response to muscle activity [GO:0014850]; response to testosterone [GO:0033574]; skeletal muscle atrophy [GO:0014732]; skeletal muscle tissue regeneration [GO:0043403]; SMAD protein signal transduction [GO:0060395]; transforming growth factor beta receptor signaling pathway [GO:0007179]",cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; heparin binding [GO:0008201]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; signaling receptor binding [GO:0005102]; transforming growth factor beta receptor binding [GO:0005160],GO:0005102; GO:0005125; GO:0005160; GO:0005615; GO:0005737; GO:0007179; GO:0007517; GO:0008083; GO:0008201; GO:0009408; GO:0009629; GO:0010862; GO:0014732; GO:0014741; GO:0014850; GO:0022602; GO:0033574; GO:0033673; GO:0042802; GO:0042803; GO:0042981; GO:0043403; GO:0043408; GO:0043627; GO:0045471; GO:0045662; GO:0045893; GO:0046627; GO:0046716; GO:0048468; GO:0048632; GO:0051602; GO:0051898; GO:0060395; GO:0071549; GO:1902723; GO:1902725; GO:2000818
CASQ2,cardiac muscle contraction [GO:0060048]; cellular response to caffeine [GO:0071313]; detection of calcium ion [GO:0005513]; ion transmembrane transport [GO:0034220]; negative regulation of potassium ion transmembrane transporter activity [GO:1901017]; negative regulation of potassium ion transport [GO:0043267]; negative regulation of ryanodine-sensitive calcium-release channel activity [GO:0060315]; protein polymerization [GO:0051258]; Purkinje myocyte to ventricular cardiac muscle cell signaling [GO:0086029]; regulation of cardiac conduction [GO:1903779]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of cell communication by electrical coupling [GO:0010649]; regulation of heart rate [GO:0002027]; regulation of membrane repolarization [GO:0060306]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; sarcomere organization [GO:0045214]; sequestering of calcium ion [GO:0051208]; striated muscle contraction [GO:0006941],calcium channel complex [GO:0034704]; cytoplasm [GO:0005737]; intracellular [GO:0005622]; junctional membrane complex [GO:0030314]; junctional sarcoplasmic reticulum membrane [GO:0014701]; sarcoplasmic reticulum [GO:0016529]; sarcoplasmic reticulum lumen [GO:0033018]; sarcoplasmic reticulum membrane [GO:0033017]; Z disc [GO:0030018],calcium channel complex [GO:0034704]; cytoplasm [GO:0005737]; intracellular [GO:0005622]; junctional membrane complex [GO:0030314]; junctional sarcoplasmic reticulum membrane [GO:0014701]; sarcoplasmic reticulum [GO:0016529]; sarcoplasmic reticulum lumen [GO:0033018]; sarcoplasmic reticulum membrane [GO:0033017]; Z disc [GO:0030018]; calcium ion binding [GO:0005509]; calcium-dependent protein binding [GO:0048306]; protein homodimerization activity [GO:0042803]; cardiac muscle contraction [GO:0060048]; cellular response to caffeine [GO:0071313]; detection of calcium ion [GO:0005513]; ion transmembrane transport [GO:0034220]; negative regulation of potassium ion transmembrane transporter activity [GO:1901017]; negative regulation of potassium ion transport [GO:0043267]; negative regulation of ryanodine-sensitive calcium-release channel activity [GO:0060315]; protein polymerization [GO:0051258]; Purkinje myocyte to ventricular cardiac muscle cell signaling [GO:0086029]; regulation of cardiac conduction [GO:1903779]; regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion [GO:0010881]; regulation of cell communication by electrical coupling [GO:0010649]; regulation of heart rate [GO:0002027]; regulation of membrane repolarization [GO:0060306]; regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum [GO:0010880]; sarcomere organization [GO:0045214]; sequestering of calcium ion [GO:0051208]; striated muscle contraction [GO:0006941],calcium-dependent protein binding [GO:0048306]; calcium ion binding [GO:0005509]; protein homodimerization activity [GO:0042803],GO:0002027; GO:0005509; GO:0005513; GO:0005622; GO:0005737; GO:0006941; GO:0010649; GO:0010880; GO:0010881; GO:0014701; GO:0016529; GO:0030018; GO:0030314; GO:0033017; GO:0033018; GO:0034220; GO:0034704; GO:0042803; GO:0043267; GO:0045214; GO:0048306; GO:0051208; GO:0051258; GO:0060048; GO:0060306; GO:0060315; GO:0071313; GO:0086029; GO:1901017; GO:1903779
CLGN,binding of sperm to zona pellucida [GO:0007339]; protein-containing complex assembly [GO:0065003]; single fertilization [GO:0007338],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635],endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; nuclear envelope [GO:0005635]; calcium ion binding [GO:0005509]; protein binding involved in protein folding [GO:0044183]; unfolded protein binding [GO:0051082]; binding of sperm to zona pellucida [GO:0007339]; protein-containing complex assembly [GO:0065003]; single fertilization [GO:0007338],calcium ion binding [GO:0005509]; protein binding involved in protein folding [GO:0044183]; unfolded protein binding [GO:0051082],GO:0005509; GO:0005635; GO:0005783; GO:0005789; GO:0007338; GO:0007339; GO:0016021; GO:0044183; GO:0051082; GO:0065003
TBXT,"anterior/posterior axis specification, embryo [GO:0008595]; BMP signaling pathway [GO:0030509]; bone morphogenesis [GO:0060349]; canonical Wnt signaling pathway [GO:0060070]; cellular response to retinoic acid [GO:0071300]; determination of heart left/right asymmetry [GO:0061371]; embryonic skeletal system development [GO:0048706]; heart morphogenesis [GO:0003007]; mesoderm development [GO:0007498]; mesoderm migration involved in gastrulation [GO:0007509]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neural plate morphogenesis [GO:0001839]; neural tube closure [GO:0001843]; notochord formation [GO:0014028]; penetration of zona pellucida [GO:0007341]; positive regulation of cell proliferation [GO:0008284]; positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation [GO:0003257]; post-anal tail morphogenesis [GO:0036342]; primitive streak formation [GO:0090009]; signal transduction [GO:0007165]; signal transduction involved in regulation of gene expression [GO:0023019]; SMAD protein signal transduction [GO:0060395]; somitogenesis [GO:0001756]; transcription, DNA-templated [GO:0006351]; vasculogenesis [GO:0001570]",cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634],"cytoplasm [GO:0005737]; nuclear chromatin [GO:0000790]; nucleus [GO:0005634]; DNA binding transcription factor activity [GO:0003700]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; RNA polymerase II transcription factor binding [GO:0001085]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]; transcriptional repressor activity, RNA polymerase II transcription factor binding [GO:0001191]; anterior/posterior axis specification, embryo [GO:0008595]; BMP signaling pathway [GO:0030509]; bone morphogenesis [GO:0060349]; canonical Wnt signaling pathway [GO:0060070]; cellular response to retinoic acid [GO:0071300]; determination of heart left/right asymmetry [GO:0061371]; embryonic skeletal system development [GO:0048706]; heart morphogenesis [GO:0003007]; mesoderm development [GO:0007498]; mesoderm migration involved in gastrulation [GO:0007509]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neural plate morphogenesis [GO:0001839]; neural tube closure [GO:0001843]; notochord formation [GO:0014028]; penetration of zona pellucida [GO:0007341]; positive regulation of cell proliferation [GO:0008284]; positive regulation of transcription from RNA polymerase II promoter involved in myocardial precursor cell differentiation [GO:0003257]; post-anal tail morphogenesis [GO:0036342]; primitive streak formation [GO:0090009]; signal transduction [GO:0007165]; signal transduction involved in regulation of gene expression [GO:0023019]; SMAD protein signal transduction [GO:0060395]; somitogenesis [GO:0001756]; transcription, DNA-templated [GO:0006351]; vasculogenesis [GO:0001570]","DNA binding transcription factor activity [GO:0003700]; RNA polymerase II activating transcription factor binding [GO:0001102]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription factor activity, sequence-specific DNA binding [GO:0000981]; RNA polymerase II transcription factor binding [GO:0001085]; transcriptional repressor activity, RNA polymerase II transcription factor binding [GO:0001191]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]",GO:0000122; GO:0000790; GO:0000978; GO:0000980; GO:0000981; GO:0001085; GO:0001102; GO:0001191; GO:0001570; GO:0001756; GO:0001839; GO:0001843; GO:0003007; GO:0003257; GO:0003700; GO:0003705; GO:0005634; GO:0005737; GO:0006351; GO:0007165; GO:0007341; GO:0007498; GO:0007509; GO:0008284; GO:0008595; GO:0014028; GO:0023019; GO:0030509; GO:0036342; GO:0048706; GO:0060070; GO:0060349; GO:0060395; GO:0061371; GO:0071300; GO:0090009
MAP3K7,"activation of MAPK activity [GO:0000187]; activation of MAPKK activity [GO:0000186]; activation of NF-kappaB-inducing kinase activity [GO:0007250]; anoikis [GO:0043276]; Fc-epsilon receptor signaling pathway [GO:0038095]; histone H3 acetylation [GO:0043966]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; I-kappaB phosphorylation [GO:0007252]; interleukin-1-mediated signaling pathway [GO:0070498]; JNK cascade [GO:0007254]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; nucleotide-binding oligomerization domain containing signaling pathway [GO:0070423]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of macroautophagy [GO:0016239]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of T cell cytokine production [GO:0002726]; protein deubiquitination [GO:0016579]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stress-activated MAPK cascade [GO:0051403]; T cell receptor signaling pathway [GO:0050852]; transcription, DNA-templated [GO:0006351]; transforming growth factor beta receptor signaling pathway [GO:0007179]; viral process [GO:0016032]; Wnt signaling pathway, calcium modulating pathway [GO:0007223]",Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; nucleus [GO:0005634]; plasma membrane [GO:0005886],"Ada2/Gcn5/Ada3 transcription activator complex [GO:0005671]; cytosol [GO:0005829]; endosome membrane [GO:0010008]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; MAP kinase kinase kinase activity [GO:0004709]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; receptor tyrosine kinase binding [GO:0030971]; scaffold protein binding [GO:0097110]; activation of MAPK activity [GO:0000187]; activation of MAPKK activity [GO:0000186]; activation of NF-kappaB-inducing kinase activity [GO:0007250]; anoikis [GO:0043276]; Fc-epsilon receptor signaling pathway [GO:0038095]; histone H3 acetylation [GO:0043966]; I-kappaB kinase/NF-kappaB signaling [GO:0007249]; I-kappaB phosphorylation [GO:0007252]; interleukin-1-mediated signaling pathway [GO:0070498]; JNK cascade [GO:0007254]; MyD88-dependent toll-like receptor signaling pathway [GO:0002755]; nucleotide-binding oligomerization domain containing signaling pathway [GO:0070423]; positive regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043123]; positive regulation of interleukin-2 production [GO:0032743]; positive regulation of JUN kinase activity [GO:0043507]; positive regulation of macroautophagy [GO:0016239]; positive regulation of NF-kappaB transcription factor activity [GO:0051092]; positive regulation of T cell cytokine production [GO:0002726]; protein deubiquitination [GO:0016579]; stimulatory C-type lectin receptor signaling pathway [GO:0002223]; stress-activated MAPK cascade [GO:0051403]; T cell receptor signaling pathway [GO:0050852]; transcription, DNA-templated [GO:0006351]; transforming growth factor beta receptor signaling pathway [GO:0007179]; viral process [GO:0016032]; Wnt signaling pathway, calcium modulating pathway [GO:0007223]",ATP binding [GO:0005524]; identical protein binding [GO:0042802]; magnesium ion binding [GO:0000287]; MAP kinase kinase kinase activity [GO:0004709]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; receptor tyrosine kinase binding [GO:0030971]; scaffold protein binding [GO:0097110],GO:0000186; GO:0000187; GO:0000287; GO:0002223; GO:0002726; GO:0002755; GO:0004672; GO:0004674; GO:0004709; GO:0005524; GO:0005634; GO:0005671; GO:0005829; GO:0005886; GO:0006351; GO:0007179; GO:0007223; GO:0007249; GO:0007250; GO:0007252; GO:0007254; GO:0010008; GO:0016032; GO:0016239; GO:0016579; GO:0030971; GO:0032743; GO:0038095; GO:0042802; GO:0043123; GO:0043276; GO:0043507; GO:0043966; GO:0050852; GO:0051092; GO:0051403; GO:0070423; GO:0070498; GO:0097110
OPA1,apoptotic process [GO:0006915]; axonal transport of mitochondrion [GO:0019896]; calcium import into the mitochondrion [GO:0036444]; cellular response to glucose stimulus [GO:0071333]; cellular response to hypoxia [GO:0071456]; cellular response to L-glutamate [GO:1905232]; cellular senescence [GO:0090398]; cochlea development [GO:0090102]; dynamin family protein polymerization involved in mitochondrial fission [GO:0003374]; GTP metabolic process [GO:0046039]; inner mitochondrial membrane organization [GO:0007007]; intracellular distribution of mitochondria [GO:0048312]; membrane tubulation [GO:0097749]; mitochondrial fission [GO:0000266]; mitochondrial fusion [GO:0008053]; mitochondrial genome maintenance [GO:0000002]; mitochondrion morphogenesis [GO:0070584]; mitochondrion organization [GO:0007005]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of glucose import in response to insulin stimulus [GO:2001275]; positive regulation of mitochondrial fusion [GO:0010636]; positive regulation of neuron maturation [GO:0014042]; protein complex oligomerization [GO:0051259]; response to curcumin [GO:1904643]; response to electrical stimulus [GO:0051602]; response to muscle activity [GO:0014850]; retina development in camera-type eye [GO:0060041]; visual perception [GO:0007601],axon cytoplasm [GO:1904115]; cytosol [GO:0005829]; dendrite [GO:0030425]; extrinsic component of mitochondrial inner membrane [GO:0031314]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrial crista [GO:0030061]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654],axon cytoplasm [GO:1904115]; cytosol [GO:0005829]; dendrite [GO:0030425]; extrinsic component of mitochondrial inner membrane [GO:0031314]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; mitochondrial crista [GO:0030061]; mitochondrial inner membrane [GO:0005743]; mitochondrial intermembrane space [GO:0005758]; mitochondrial outer membrane [GO:0005741]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; cardiolipin binding [GO:1901612]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; kinase binding [GO:0019900]; magnesium ion binding [GO:0000287]; microtubule binding [GO:0008017]; phosphatidic acid binding [GO:0070300]; apoptotic process [GO:0006915]; axonal transport of mitochondrion [GO:0019896]; calcium import into the mitochondrion [GO:0036444]; cellular response to glucose stimulus [GO:0071333]; cellular response to hypoxia [GO:0071456]; cellular response to L-glutamate [GO:1905232]; cellular senescence [GO:0090398]; cochlea development [GO:0090102]; dynamin family protein polymerization involved in mitochondrial fission [GO:0003374]; GTP metabolic process [GO:0046039]; inner mitochondrial membrane organization [GO:0007007]; intracellular distribution of mitochondria [GO:0048312]; membrane tubulation [GO:0097749]; mitochondrial fission [GO:0000266]; mitochondrial fusion [GO:0008053]; mitochondrial genome maintenance [GO:0000002]; mitochondrion morphogenesis [GO:0070584]; mitochondrion organization [GO:0007005]; negative regulation of apoptotic process [GO:0043066]; negative regulation of endoplasmic reticulum stress-induced intrinsic apoptotic signaling pathway [GO:1902236]; negative regulation of release of cytochrome c from mitochondria [GO:0090201]; positive regulation of dendritic spine morphogenesis [GO:0061003]; positive regulation of glucose import in response to insulin stimulus [GO:2001275]; positive regulation of mitochondrial fusion [GO:0010636]; positive regulation of neuron maturation [GO:0014042]; protein complex oligomerization [GO:0051259]; response to curcumin [GO:1904643]; response to electrical stimulus [GO:0051602]; response to muscle activity [GO:0014850]; retina development in camera-type eye [GO:0060041]; visual perception [GO:0007601],cardiolipin binding [GO:1901612]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; kinase binding [GO:0019900]; magnesium ion binding [GO:0000287]; microtubule binding [GO:0008017]; phosphatidic acid binding [GO:0070300],GO:0000002; GO:0000266; GO:0000287; GO:0003374; GO:0003924; GO:0005525; GO:0005654; GO:0005739; GO:0005741; GO:0005743; GO:0005758; GO:0005829; GO:0006915; GO:0007005; GO:0007007; GO:0007601; GO:0008017; GO:0008053; GO:0010636; GO:0014042; GO:0014850; GO:0016020; GO:0016021; GO:0019896; GO:0019900; GO:0030061; GO:0030425; GO:0031314; GO:0036444; GO:0043066; GO:0046039; GO:0048312; GO:0051259; GO:0051602; GO:0060041; GO:0061003; GO:0070300; GO:0070584; GO:0071333; GO:0071456; GO:0090102; GO:0090201; GO:0090398; GO:0097749; GO:1901612; GO:1902236; GO:1904115; GO:1904643; GO:1905232; GO:2001275
FKTN,muscle organ development [GO:0007517]; negative regulation of cell proliferation [GO:0008285]; negative regulation of JNK cascade [GO:0046329]; nervous system development [GO:0007399]; protein O-linked glycosylation [GO:0006493]; protein O-linked mannosylation [GO:0035269]; regulation of protein glycosylation [GO:0060049],cis-Golgi network [GO:0005801]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; integral component of Golgi membrane [GO:0030173]; nucleus [GO:0005634],cis-Golgi network [GO:0005801]; endoplasmic reticulum [GO:0005783]; extracellular space [GO:0005615]; Golgi apparatus [GO:0005794]; integral component of Golgi membrane [GO:0030173]; nucleus [GO:0005634]; transferase activity [GO:0016740]; muscle organ development [GO:0007517]; negative regulation of cell proliferation [GO:0008285]; negative regulation of JNK cascade [GO:0046329]; nervous system development [GO:0007399]; protein O-linked glycosylation [GO:0006493]; protein O-linked mannosylation [GO:0035269]; regulation of protein glycosylation [GO:0060049],transferase activity [GO:0016740],GO:0005615; GO:0005634; GO:0005783; GO:0005794; GO:0005801; GO:0006493; GO:0007399; GO:0007517; GO:0008285; GO:0016740; GO:0030173; GO:0035269; GO:0046329; GO:0060049
LDB3,sarcomere organization [GO:0045214],cytoskeleton [GO:0005856]; perinuclear region of cytoplasm [GO:0048471]; pseudopodium [GO:0031143]; Z disc [GO:0030018],cytoskeleton [GO:0005856]; perinuclear region of cytoplasm [GO:0048471]; pseudopodium [GO:0031143]; Z disc [GO:0030018]; cytoskeletal protein binding [GO:0008092]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]; protein kinase C binding [GO:0005080]; sarcomere organization [GO:0045214],cytoskeletal protein binding [GO:0008092]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]; protein kinase C binding [GO:0005080],GO:0005080; GO:0005856; GO:0008092; GO:0030018; GO:0031143; GO:0045214; GO:0046872; GO:0048471; GO:0051371
DNAJB6,intermediate filament organization [GO:0045109]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457]; regulation of cellular response to heat [GO:1900034]; regulation of protein localization [GO:0032880],cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; Z disc [GO:0030018],cytosol [GO:0005829]; membrane [GO:0016020]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; perinuclear region of cytoplasm [GO:0048471]; Z disc [GO:0030018]; ATPase activator activity [GO:0001671]; chaperone binding [GO:0051087]; heat shock protein binding [GO:0031072]; identical protein binding [GO:0042802]; unfolded protein binding [GO:0051082]; intermediate filament organization [GO:0045109]; negative regulation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0043154]; negative regulation of inclusion body assembly [GO:0090084]; protein folding [GO:0006457]; regulation of cellular response to heat [GO:1900034]; regulation of protein localization [GO:0032880],ATPase activator activity [GO:0001671]; chaperone binding [GO:0051087]; heat shock protein binding [GO:0031072]; identical protein binding [GO:0042802]; unfolded protein binding [GO:0051082],GO:0001671; GO:0005634; GO:0005654; GO:0005829; GO:0006457; GO:0016020; GO:0030018; GO:0031072; GO:0032880; GO:0042802; GO:0043154; GO:0045109; GO:0048471; GO:0051082; GO:0051087; GO:0090084; GO:1900034
